Test Predictions,Actual Values
136.6544,136.429
136.6544,136.429
136.6544,136.429
136.6544,136.429
136.6544,136.429
136.6544,134.079375
129.11658,6.9552321429
4.385825,0.0
-0.09497145,0.0
-0.09323859,0.0
-0.12881911,0.0
0.08293712,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0
0.20034885,0.0
0.20034885,0.0
0.20034888,0.0
0.20034888,0.0
0.20034888,0.0005
0.20041545,0.36266071427999996
0.26243457,1.2489821428899999
0.979942,2.6789285712999997
3.7583332,4.6471964285
7.13161,6.566625000199999
9.625514,8.4757142857
11.842054,10.6539999999
13.931425,12.73775
16.4129,15.1671428571
18.95442,17.973875
21.852615,21.3782857146
25.631306,24.602625
29.438707,27.870571427999998
33.13303,31.407375
36.62438,35.142142858999996
40.276806,39.069375
44.280704,42.046285716
47.380173,46.451
52.26251,50.627375
56.201923,55.489357143
61.791286,61.991285712999996
69.29794,68.709910715
75.32726,75.18446428499999
82.654076,80.138107141
88.23074,84.677571428
92.607994,88.892428573
96.1256,93.824875
100.76308,98.820142857
104.61786,102.563375
106.56462,105.788428572
109.48517,109.864125
113.997604,114.408285713
118.1627,117.622267857
119.874626,119.39214285599999
120.11931,119.918767857
119.81957,120.603839286
121.79903,121.71830357200001
123.44927,123.726910714
125.981125,125.17548214199999
126.761566,125.955375
127.200874,126.55910714599999
128.01611,127.365982143
129.10138,128.047
129.672,128.802428571
130.51921,129.191857144
130.66113,129.444625
130.91826,129.559714286
130.97458,129.571
130.94197,129.571
130.9621,129.571
130.96622,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,129.571
130.96632,127.962767857
